  n  E[WN]   sigma_WN     W50     W90      W95     W99 
3835   7.22    0.45       7.17    7.82     8.03    8.48
3836   7.22    0.45       7.17    7.82     8.03    8.48
3837   7.22    0.45       7.17    7.82     8.03    8.48
3838   7.22    0.45       7.17    7.82     8.03    8.48
3839   7.22    0.45       7.17    7.82     8.03    8.48
3840   7.22    0.45       7.17    7.82     8.03    8.48
3841   7.22    0.45       7.18    7.82     8.03    8.48
3842   7.22    0.45       7.18    7.82     8.03    8.48
3843   7.22    0.45       7.18    7.82     8.03    8.48
3844   7.22    0.45       7.18    7.82     8.03    8.48
3845   7.22    0.45       7.18    7.82     8.03    8.48
3846   7.22    0.45       7.18    7.82     8.03    8.48
3847   7.22    0.45       7.18    7.82     8.03    8.48
3848   7.22    0.45       7.18    7.82     8.03    8.48
3849   7.22    0.45       7.18    7.82     8.03    8.48
3850   7.22    0.45       7.18    7.82     8.03    8.48
3851   7.22    0.45       7.18    7.82     8.04    8.48
3852   7.22    0.45       7.18    7.82     8.04    8.48
3853   7.22    0.45       7.18    7.82     8.04    8.48
3854   7.22    0.45       7.18    7.82     8.04    8.48
3855   7.22    0.45       7.18    7.82     8.04    8.48
3856   7.22    0.45       7.18    7.82     8.04    8.48
3857   7.22    0.45       7.18    7.82     8.04    8.48
3858   7.22    0.45       7.18    7.82     8.04    8.48
3859   7.22    0.45       7.18    7.82     8.04    8.48
3860   7.22    0.45       7.18    7.82     8.04    8.48
3861   7.22    0.45       7.18    7.82     8.04    8.48
3862   7.22    0.45       7.18    7.82     8.04    8.48
3863   7.22    0.45       7.18    7.82     8.04    8.48
3864   7.22    0.45       7.18    7.82     8.04    8.48
3865   7.22    0.45       7.18    7.82     8.04    8.48
3866   7.22    0.45       7.18    7.82     8.04    8.48
3867   7.22    0.45       7.18    7.82     8.04    8.48
3868   7.22    0.45       7.18    7.82     8.04    8.48
3869   7.22    0.45       7.18    7.82     8.04    8.48
3870   7.22    0.45       7.18    7.82     8.04    8.48
3871   7.22    0.45       7.18    7.82     8.04    8.48
3872   7.22    0.45       7.18    7.82     8.04    8.48
3873   7.22    0.45       7.18    7.82     8.04    8.48
3874   7.22    0.45       7.18    7.82     8.04    8.48
3875   7.22    0.45       7.18    7.82     8.04    8.48
3876   7.22    0.45       7.18    7.82     8.04    8.48
3877   7.22    0.45       7.18    7.82     8.04    8.48
3878   7.22    0.45       7.18    7.82     8.04    8.48
3879   7.22    0.45       7.18    7.82     8.04    8.48
3880   7.22    0.45       7.18    7.82     8.04    8.48
3881   7.22    0.45       7.18    7.82     8.04    8.48
3882   7.22    0.45       7.18    7.82     8.04    8.48
3883   7.22    0.45       7.18    7.83     8.04    8.48
3884   7.22    0.45       7.18    7.83     8.04    8.48
3885   7.22    0.45       7.18    7.83     8.04    8.48
3886   7.22    0.45       7.18    7.83     8.04    8.48
3887   7.22    0.45       7.18    7.83     8.04    8.48
3888   7.23    0.45       7.18    7.83     8.04    8.48
3889   7.23    0.45       7.18    7.83     8.04    8.48
3890   7.23    0.45       7.18    7.83     8.04    8.48
3891   7.23    0.45       7.18    7.83     8.04    8.48
3892   7.23    0.45       7.18    7.83     8.04    8.48
3893   7.23    0.45       7.18    7.83     8.04    8.48
3894   7.23    0.45       7.18    7.83     8.04    8.48
3895   7.23    0.45       7.18    7.83     8.04    8.48
3896   7.23    0.45       7.18    7.83     8.04    8.48
3897   7.23    0.45       7.18    7.83     8.04    8.48
3898   7.23    0.45       7.18    7.83     8.04    8.48
3899   7.23    0.45       7.18    7.83     8.04    8.48
3900   7.23    0.45       7.18    7.83     8.04    8.48
3901   7.23    0.45       7.18    7.83     8.04    8.48
3902   7.23    0.45       7.18    7.83     8.04    8.48
3903   7.23    0.45       7.18    7.83     8.04    8.48
3904   7.23    0.45       7.18    7.83     8.04    8.48
3905   7.23    0.45       7.18    7.83     8.04    8.48
3906   7.23    0.45       7.18    7.83     8.04    8.48
3907   7.23    0.45       7.18    7.83     8.04    8.48
3908   7.23    0.45       7.18    7.83     8.04    8.48
3909   7.23    0.45       7.18    7.83     8.04    8.48
3910   7.23    0.45       7.18    7.83     8.04    8.48
3911   7.23    0.45       7.18    7.83     8.04    8.48
3912   7.23    0.45       7.18    7.83     8.04    8.48
3913   7.23    0.45       7.18    7.83     8.04    8.48
3914   7.23    0.45       7.18    7.83     8.04    8.48
3915   7.23    0.45       7.19    7.83     8.04    8.48
3916   7.23    0.45       7.19    7.83     8.04    8.48
3917   7.23    0.45       7.19    7.83     8.04    8.48
3918   7.23    0.45       7.19    7.83     8.04    8.49
3919   7.23    0.45       7.19    7.83     8.04    8.49
3920   7.23    0.45       7.19    7.83     8.04    8.49
3921   7.23    0.45       7.19    7.83     8.04    8.49
3922   7.23    0.45       7.19    7.83     8.04    8.49
3923   7.23    0.45       7.19    7.83     8.04    8.49
3924   7.23    0.45       7.19    7.83     8.04    8.49
3925   7.23    0.45       7.19    7.83     8.04    8.49
3926   7.23    0.45       7.19    7.83     8.04    8.49
3927   7.23    0.45       7.19    7.83     8.04    8.49
3928   7.23    0.45       7.19    7.83     8.04    8.49
3929   7.23    0.45       7.19    7.83     8.04    8.49
3930   7.23    0.45       7.19    7.83     8.04    8.49
3931   7.23    0.45       7.19    7.83     8.04    8.49
3932   7.23    0.45       7.19    7.83     8.04    8.49
3933   7.23    0.45       7.19    7.83     8.04    8.49
3934   7.23    0.45       7.19    7.83     8.04    8.49
3935   7.23    0.45       7.19    7.83     8.04    8.49
3936   7.23    0.45       7.19    7.83     8.04    8.49
3937   7.23    0.45       7.19    7.83     8.05    8.49
3938   7.23    0.45       7.19    7.83     8.05    8.49
3939   7.23    0.45       7.19    7.83     8.05    8.49
3940   7.23    0.45       7.19    7.83     8.05    8.49
3941   7.23    0.45       7.19    7.83     8.05    8.49
3942   7.23    0.45       7.19    7.83     8.05    8.49
3943   7.23    0.45       7.19    7.83     8.05    8.49
3944   7.23    0.45       7.19    7.83     8.05    8.49
3945   7.23    0.45       7.19    7.83     8.05    8.49
3946   7.23    0.45       7.19    7.83     8.05    8.49
3947   7.23    0.45       7.19    7.83     8.05    8.49
3948   7.23    0.45       7.19    7.83     8.05    8.49
3949   7.23    0.45       7.19    7.83     8.05    8.49
3950   7.23    0.45       7.19    7.83     8.05    8.49
3951   7.23    0.45       7.19    7.83     8.05    8.49
3952   7.23    0.45       7.19    7.83     8.05    8.49
3953   7.23    0.45       7.19    7.83     8.05    8.49
3954   7.23    0.45       7.19    7.83     8.05    8.49
3955   7.23    0.45       7.19    7.83     8.05    8.49
3956   7.23    0.45       7.19    7.83     8.05    8.49
3957   7.23    0.45       7.19    7.83     8.05    8.49
3958   7.23    0.45       7.19    7.83     8.05    8.49
3959   7.23    0.45       7.19    7.83     8.05    8.49
3960   7.23    0.45       7.19    7.83     8.05    8.49
3961   7.23    0.45       7.19    7.83     8.05    8.49
3962   7.23    0.45       7.19    7.83     8.05    8.49
3963   7.23    0.45       7.19    7.83     8.05    8.49
3964   7.24    0.45       7.19    7.83     8.05    8.49
3965   7.24    0.45       7.19    7.84     8.05    8.49
3966   7.24    0.45       7.19    7.84     8.05    8.49
3967   7.24    0.45       7.19    7.84     8.05    8.49
3968   7.24    0.45       7.19    7.84     8.05    8.49
3969   7.24    0.45       7.19    7.84     8.05    8.49
3970   7.24    0.45       7.19    7.84     8.05    8.49
3971   7.24    0.45       7.19    7.84     8.05    8.49
3972   7.24    0.45       7.19    7.84     8.05    8.49
3973   7.24    0.45       7.19    7.84     8.05    8.49
3974   7.24    0.45       7.19    7.84     8.05    8.49
3975   7.24    0.45       7.19    7.84     8.05    8.49
3976   7.24    0.45       7.19    7.84     8.05    8.49
3977   7.24    0.45       7.19    7.84     8.05    8.49
3978   7.24    0.45       7.19    7.84     8.05    8.49
3979   7.24    0.45       7.19    7.84     8.05    8.49
3980   7.24    0.45       7.19    7.84     8.05    8.49
3981   7.24    0.45       7.19    7.84     8.05    8.49
3982   7.24    0.45       7.19    7.84     8.05    8.49
3983   7.24    0.45       7.19    7.84     8.05    8.49
3984   7.24    0.45       7.19    7.84     8.05    8.49
3985   7.24    0.45       7.19    7.84     8.05    8.49
3986   7.24    0.45       7.19    7.84     8.05    8.49
3987   7.24    0.45       7.19    7.84     8.05    8.49
3988   7.24    0.45       7.19    7.84     8.05    8.49
3989   7.24    0.45       7.19    7.84     8.05    8.49
3990   7.24    0.45       7.19    7.84     8.05    8.49
3991   7.24    0.45       7.20    7.84     8.05    8.49
3992   7.24    0.45       7.20    7.84     8.05    8.49
3993   7.24    0.45       7.20    7.84     8.05    8.49
3994   7.24    0.45       7.20    7.84     8.05    8.49
3995   7.24    0.45       7.20    7.84     8.05    8.49
3996   7.24    0.45       7.20    7.84     8.05    8.49
3997   7.24    0.45       7.20    7.84     8.05    8.49
3998   7.24    0.45       7.20    7.84     8.05    8.49
3999   7.24    0.45       7.20    7.84     8.05    8.49
4000   7.24    0.45       7.20    7.84     8.05    8.49
4001   7.24    0.45       7.20    7.84     8.05    8.49
4002   7.24    0.45       7.20    7.84     8.05    8.49
4003   7.24    0.45       7.20    7.84     8.05    8.49
4004   7.24    0.45       7.20    7.84     8.05    8.49
4005   7.24    0.45       7.20    7.84     8.05    8.49
4006   7.24    0.45       7.20    7.84     8.05    8.49
4007   7.24    0.45       7.20    7.84     8.05    8.49
4008   7.24    0.45       7.20    7.84     8.05    8.49
4009   7.24    0.45       7.20    7.84     8.05    8.49
4010   7.24    0.45       7.20    7.84     8.05    8.49
4011   7.24    0.45       7.20    7.84     8.05    8.50
4012   7.24    0.45       7.20    7.84     8.05    8.50
4013   7.24    0.45       7.20    7.84     8.05    8.50
4014   7.24    0.45       7.20    7.84     8.05    8.50
4015   7.24    0.45       7.20    7.84     8.05    8.50
4016   7.24    0.45       7.20    7.84     8.05    8.50
4017   7.24    0.45       7.20    7.84     8.05    8.50
4018   7.24    0.45       7.20    7.84     8.05    8.50
4019   7.24    0.45       7.20    7.84     8.05    8.50
4020   7.24    0.45       7.20    7.84     8.05    8.50
4021   7.24    0.45       7.20    7.84     8.06    8.50
4022   7.24    0.45       7.20    7.84     8.06    8.50
4023   7.24    0.45       7.20    7.84     8.06    8.50
4024   7.24    0.45       7.20    7.84     8.06    8.50
4025   7.24    0.45       7.20    7.84     8.06    8.50
4026   7.24    0.45       7.20    7.84     8.06    8.50
4027   7.24    0.45       7.20    7.84     8.06    8.50
4028   7.24    0.45       7.20    7.84     8.06    8.50
4029   7.24    0.45       7.20    7.84     8.06    8.50
4030   7.24    0.45       7.20    7.84     8.06    8.50
4031   7.24    0.45       7.20    7.84     8.06    8.50
4032   7.24    0.45       7.20    7.84     8.06    8.50
4033   7.24    0.45       7.20    7.84     8.06    8.50
4034   7.24    0.45       7.20    7.84     8.06    8.50
4035   7.24    0.45       7.20    7.84     8.06    8.50
4036   7.24    0.45       7.20    7.84     8.06    8.50
4037   7.24    0.45       7.20    7.84     8.06    8.50
4038   7.24    0.45       7.20    7.84     8.06    8.50
4039   7.24    0.45       7.20    7.84     8.06    8.50
4040   7.25    0.45       7.20    7.84     8.06    8.50
4041   7.25    0.45       7.20    7.84     8.06    8.50
4042   7.25    0.45       7.20    7.84     8.06    8.50
4043   7.25    0.45       7.20    7.84     8.06    8.50
4044   7.25    0.45       7.20    7.84     8.06    8.50
4045   7.25    0.45       7.20    7.84     8.06    8.50
4046   7.25    0.45       7.20    7.84     8.06    8.50
4047   7.25    0.45       7.20    7.84     8.06    8.50
4048   7.25    0.45       7.20    7.84     8.06    8.50
4049   7.25    0.45       7.20    7.84     8.06    8.50
4050   7.25    0.45       7.20    7.84     8.06    8.50
4051   7.25    0.45       7.20    7.85     8.06    8.50
4052   7.25    0.45       7.20    7.85     8.06    8.50
4053   7.25    0.45       7.20    7.85     8.06    8.50
4054   7.25    0.45       7.20    7.85     8.06    8.50
4055   7.25    0.45       7.20    7.85     8.06    8.50
4056   7.25    0.45       7.20    7.85     8.06    8.50
4057   7.25    0.45       7.20    7.85     8.06    8.50
4058   7.25    0.45       7.20    7.85     8.06    8.50
4059   7.25    0.45       7.20    7.85     8.06    8.50
4060   7.25    0.45       7.20    7.85     8.06    8.50
4061   7.25    0.45       7.20    7.85     8.06    8.50
4062   7.25    0.45       7.20    7.85     8.06    8.50
4063   7.25    0.45       7.20    7.85     8.06    8.50
4064   7.25    0.45       7.20    7.85     8.06    8.50
4065   7.25    0.45       7.20    7.85     8.06    8.50
4066   7.25    0.45       7.20    7.85     8.06    8.50
4067   7.25    0.45       7.20    7.85     8.06    8.50
4068   7.25    0.45       7.21    7.85     8.06    8.50
4069   7.25    0.45       7.21    7.85     8.06    8.50
4070   7.25    0.45       7.21    7.85     8.06    8.50
4071   7.25    0.45       7.21    7.85     8.06    8.50
4072   7.25    0.45       7.21    7.85     8.06    8.50
4073   7.25    0.45       7.21    7.85     8.06    8.50
4074   7.25    0.45       7.21    7.85     8.06    8.50
4075   7.25    0.45       7.21    7.85     8.06    8.50
4076   7.25    0.45       7.21    7.85     8.06    8.50
4077   7.25    0.45       7.21    7.85     8.06    8.50
4078   7.25    0.45       7.21    7.85     8.06    8.50
4079   7.25    0.45       7.21    7.85     8.06    8.50
4080   7.25    0.45       7.21    7.85     8.06    8.50
4081   7.25    0.45       7.21    7.85     8.06    8.50
4082   7.25    0.45       7.21    7.85     8.06    8.50
4083   7.25    0.45       7.21    7.85     8.06    8.50
4084   7.25    0.45       7.21    7.85     8.06    8.50
4085   7.25    0.45       7.21    7.85     8.06    8.50
4086   7.25    0.45       7.21    7.85     8.06    8.50
4087   7.25    0.45       7.21    7.85     8.06    8.50
4088   7.25    0.45       7.21    7.85     8.06    8.50
4089   7.25    0.45       7.21    7.85     8.06    8.50
4090   7.25    0.45       7.21    7.85     8.06    8.50
4091   7.25    0.45       7.21    7.85     8.06    8.50
4092   7.25    0.45       7.21    7.85     8.06    8.50
4093   7.25    0.45       7.21    7.85     8.06    8.50
4094   7.25    0.45       7.21    7.85     8.06    8.50
4095   7.25    0.45       7.21    7.85     8.06    8.50
4096   7.25    0.45       7.21    7.85     8.06    8.50
4097   7.25    0.45       7.21    7.85     8.06    8.50
4098   7.25    0.45       7.21    7.85     8.06    8.50
4099   7.25    0.45       7.21    7.85     8.06    8.50
4100   7.25    0.45       7.21    7.85     8.06    8.50
4101   7.25    0.45       7.21    7.85     8.06    8.51
4102   7.25    0.45       7.21    7.85     8.06    8.51
4103   7.25    0.45       7.21    7.85     8.07    8.51
4104   7.25    0.45       7.21    7.85     8.07    8.51
4105   7.25    0.45       7.21    7.85     8.07    8.51
4106   7.25    0.45       7.21    7.85     8.07    8.51
4107   7.25    0.45       7.21    7.85     8.07    8.51
4108   7.25    0.45       7.21    7.85     8.07    8.51
4109   7.25    0.45       7.21    7.85     8.07    8.51
4110   7.25    0.45       7.21    7.85     8.07    8.51
4111   7.25    0.45       7.21    7.85     8.07    8.51
4112   7.25    0.45       7.21    7.85     8.07    8.51
4113   7.25    0.45       7.21    7.85     8.07    8.51
4114   7.25    0.45       7.21    7.85     8.07    8.51
4115   7.25    0.45       7.21    7.85     8.07    8.51
4116   7.25    0.45       7.21    7.85     8.07    8.51
4117   7.25    0.45       7.21    7.85     8.07    8.51
4118   7.25    0.45       7.21    7.85     8.07    8.51
4119   7.26    0.45       7.21    7.85     8.07    8.51
4120   7.26    0.45       7.21    7.85     8.07    8.51
4121   7.26    0.45       7.21    7.85     8.07    8.51
4122   7.26    0.45       7.21    7.85     8.07    8.51
4123   7.26    0.45       7.21    7.85     8.07    8.51
4124   7.26    0.45       7.21    7.85     8.07    8.51
4125   7.26    0.45       7.21    7.85     8.07    8.51
4126   7.26    0.45       7.21    7.85     8.07    8.51
4127   7.26    0.45       7.21    7.85     8.07    8.51
4128   7.26    0.45       7.21    7.85     8.07    8.51
4129   7.26    0.45       7.21    7.85     8.07    8.51
4130   7.26    0.45       7.21    7.85     8.07    8.51
4131   7.26    0.45       7.21    7.85     8.07    8.51
4132   7.26    0.45       7.21    7.85     8.07    8.51
4133   7.26    0.45       7.21    7.85     8.07    8.51
4134   7.26    0.45       7.21    7.85     8.07    8.51
4135   7.26    0.45       7.21    7.85     8.07    8.51
4136   7.26    0.45       7.21    7.86     8.07    8.51
4137   7.26    0.45       7.21    7.86     8.07    8.51
4138   7.26    0.45       7.21    7.86     8.07    8.51
4139   7.26    0.45       7.21    7.86     8.07    8.51
4140   7.26    0.45       7.21    7.86     8.07    8.51
4141   7.26    0.45       7.21    7.86     8.07    8.51
4142   7.26    0.45       7.21    7.86     8.07    8.51
4143   7.26    0.45       7.21    7.86     8.07    8.51
4144   7.26    0.45       7.21    7.86     8.07    8.51
4145   7.26    0.45       7.21    7.86     8.07    8.51
4146   7.26    0.45       7.21    7.86     8.07    8.51
4147   7.26    0.45       7.22    7.86     8.07    8.51
4148   7.26    0.45       7.22    7.86     8.07    8.51
4149   7.26    0.45       7.22    7.86     8.07    8.51
4150   7.26    0.45       7.22    7.86     8.07    8.51
4151   7.26    0.45       7.22    7.86     8.07    8.51
4152   7.26    0.45       7.22    7.86     8.07    8.51
4153   7.26    0.45       7.22    7.86     8.07    8.51
4154   7.26    0.45       7.22    7.86     8.07    8.51
4155   7.26    0.45       7.22    7.86     8.07    8.51
4156   7.26    0.45       7.22    7.86     8.07    8.51
4157   7.26    0.45       7.22    7.86     8.07    8.51
4158   7.26    0.45       7.22    7.86     8.07    8.51
4159   7.26    0.45       7.22    7.86     8.07    8.51
4160   7.26    0.45       7.22    7.86     8.07    8.51
4161   7.26    0.45       7.22    7.86     8.07    8.51
4162   7.26    0.45       7.22    7.86     8.07    8.51
4163   7.26    0.45       7.22    7.86     8.07    8.51
4164   7.26    0.45       7.22    7.86     8.07    8.51
4165   7.26    0.45       7.22    7.86     8.07    8.51
4166   7.26    0.45       7.22    7.86     8.07    8.51
4167   7.26    0.45       7.22    7.86     8.07    8.51
4168   7.26    0.45       7.22    7.86     8.07    8.51
4169   7.26    0.45       7.22    7.86     8.07    8.51
4170   7.26    0.45       7.22    7.86     8.07    8.51
4171   7.26    0.45       7.22    7.86     8.07    8.51
4172   7.26    0.45       7.22    7.86     8.07    8.51
4173   7.26    0.45       7.22    7.86     8.07    8.51
4174   7.26    0.45       7.22    7.86     8.07    8.51
4175   7.26    0.45       7.22    7.86     8.07    8.51
4176   7.26    0.45       7.22    7.86     8.07    8.51
4177   7.26    0.45       7.22    7.86     8.07    8.51
4178   7.26    0.45       7.22    7.86     8.07    8.51
4179   7.26    0.45       7.22    7.86     8.07    8.51
4180   7.26    0.45       7.22    7.86     8.07    8.51
4181   7.26    0.45       7.22    7.86     8.07    8.51
4182   7.26    0.45       7.22    7.86     8.07    8.51
4183   7.26    0.45       7.22    7.86     8.07    8.51
4184   7.26    0.45       7.22    7.86     8.07    8.51
4185   7.26    0.45       7.22    7.86     8.07    8.51
4186   7.26    0.45       7.22    7.86     8.07    8.51
4187   7.26    0.45       7.22    7.86     8.07    8.51
4188   7.26    0.45       7.22    7.86     8.07    8.52
4189   7.26    0.45       7.22    7.86     8.08    8.52
4190   7.26    0.45       7.22    7.86     8.08    8.52
4191   7.26    0.45       7.22    7.86     8.08    8.52
4192   7.26    0.45       7.22    7.86     8.08    8.52
4193   7.26    0.45       7.22    7.86     8.08    8.52
4194   7.26    0.45       7.22    7.86     8.08    8.52
4195   7.26    0.45       7.22    7.86     8.08    8.52
4196   7.26    0.45       7.22    7.86     8.08    8.52
4197   7.26    0.45       7.22    7.86     8.08    8.52
4198   7.26    0.45       7.22    7.86     8.08    8.52
4199   7.27    0.45       7.22    7.86     8.08    8.52
4200   7.27    0.45       7.22    7.86     8.08    8.52
4201   7.27    0.45       7.22    7.86     8.08    8.52
4202   7.27    0.45       7.22    7.86     8.08    8.52
4203   7.27    0.45       7.22    7.86     8.08    8.52
4204   7.27    0.45       7.22    7.86     8.08    8.52
4205   7.27    0.45       7.22    7.86     8.08    8.52
4206   7.27    0.45       7.22    7.86     8.08    8.52
4207   7.27    0.45       7.22    7.86     8.08    8.52
4208   7.27    0.45       7.22    7.86     8.08    8.52
4209   7.27    0.45       7.22    7.86     8.08    8.52
4210   7.27    0.45       7.22    7.86     8.08    8.52
4211   7.27    0.45       7.22    7.86     8.08    8.52
4212   7.27    0.45       7.22    7.86     8.08    8.52
4213   7.27    0.45       7.22    7.86     8.08    8.52
4214   7.27    0.45       7.22    7.86     8.08    8.52
4215   7.27    0.45       7.22    7.86     8.08    8.52
4216   7.27    0.45       7.22    7.86     8.08    8.52
4217   7.27    0.45       7.22    7.86     8.08    8.52
4218   7.27    0.45       7.22    7.86     8.08    8.52
4219   7.27    0.45       7.22    7.87     8.08    8.52
4220   7.27    0.45       7.22    7.87     8.08    8.52
4221   7.27    0.45       7.22    7.87     8.08    8.52
4222   7.27    0.45       7.22    7.87     8.08    8.52
4223   7.27    0.45       7.22    7.87     8.08    8.52
4224   7.27    0.45       7.22    7.87     8.08    8.52
4225   7.27    0.45       7.22    7.87     8.08    8.52
4226   7.27    0.45       7.22    7.87     8.08    8.52
4227   7.27    0.45       7.23    7.87     8.08    8.52
4228   7.27    0.45       7.23    7.87     8.08    8.52
4229   7.27    0.45       7.23    7.87     8.08    8.52
4230   7.27    0.45       7.23    7.87     8.08    8.52
4231   7.27    0.45       7.23    7.87     8.08    8.52
4232   7.27    0.45       7.23    7.87     8.08    8.52
4233   7.27    0.45       7.23    7.87     8.08    8.52
4234   7.27    0.45       7.23    7.87     8.08    8.52
4235   7.27    0.45       7.23    7.87     8.08    8.52
4236   7.27    0.45       7.23    7.87     8.08    8.52
4237   7.27    0.45       7.23    7.87     8.08    8.52
4238   7.27    0.45       7.23    7.87     8.08    8.52
4239   7.27    0.45       7.23    7.87     8.08    8.52
4240   7.27    0.45       7.23    7.87     8.08    8.52
4241   7.27    0.45       7.23    7.87     8.08    8.52
4242   7.27    0.45       7.23    7.87     8.08    8.52
4243   7.27    0.45       7.23    7.87     8.08    8.52
4244   7.27    0.45       7.23    7.87     8.08    8.52
4245   7.27    0.45       7.23    7.87     8.08    8.52
4246   7.27    0.45       7.23    7.87     8.08    8.52
4247   7.27    0.45       7.23    7.87     8.08    8.52
4248   7.27    0.45       7.23    7.87     8.08    8.52
4249   7.27    0.45       7.23    7.87     8.08    8.52
4250   7.27    0.45       7.23    7.87     8.08    8.52
4251   7.27    0.45       7.23    7.87     8.08    8.52
4252   7.27    0.45       7.23    7.87     8.08    8.52
4253   7.27    0.45       7.23    7.87     8.08    8.52
4254   7.27    0.45       7.23    7.87     8.08    8.52
4255   7.27    0.45       7.23    7.87     8.08    8.52
4256   7.27    0.45       7.23    7.87     8.08    8.52
4257   7.27    0.45       7.23    7.87     8.08    8.52
4258   7.27    0.45       7.23    7.87     8.08    8.52
4259   7.27    0.45       7.23    7.87     8.08    8.52
4260   7.27    0.45       7.23    7.87     8.08    8.52
4261   7.27    0.45       7.23    7.87     8.08    8.52
4262   7.27    0.45       7.23    7.87     8.08    8.52
4263   7.27    0.45       7.23    7.87     8.08    8.52
4264   7.27    0.45       7.23    7.87     8.08    8.52
4265   7.27    0.45       7.23    7.87     8.08    8.52
4266   7.27    0.45       7.23    7.87     8.08    8.52
4267   7.27    0.45       7.23    7.87     8.08    8.52
4268   7.27    0.45       7.23    7.87     8.08    8.52
4269   7.27    0.45       7.23    7.87     8.08    8.52
4270   7.27    0.45       7.23    7.87     8.08    8.52
4271   7.27    0.45       7.23    7.87     8.08    8.52
4272   7.27    0.45       7.23    7.87     8.08    8.52
4273   7.27    0.45       7.23    7.87     8.08    8.52
4274   7.27    0.45       7.23    7.87     8.08    8.52
4275   7.27    0.45       7.23    7.87     8.08    8.52
4276   7.27    0.45       7.23    7.87     8.08    8.52
4277   7.27    0.45       7.23    7.87     8.08    8.52
4278   7.27    0.45       7.23    7.87     8.08    8.52
4279   7.27    0.45       7.23    7.87     8.08    8.52
4280   7.27    0.45       7.23    7.87     8.09    8.53
4281   7.28    0.45       7.23    7.87     8.09    8.53
4282   7.28    0.45       7.23    7.87     8.09    8.53
4283   7.28    0.45       7.23    7.87     8.09    8.53
4284   7.28    0.45       7.23    7.87     8.09    8.53
4285   7.28    0.45       7.23    7.87     8.09    8.53
4286   7.28    0.45       7.23    7.87     8.09    8.53
4287   7.28    0.45       7.23    7.87     8.09    8.53
4288   7.28    0.45       7.23    7.87     8.09    8.53
4289   7.28    0.45       7.23    7.87     8.09    8.53
4290   7.28    0.45       7.23    7.87     8.09    8.53
4291   7.28    0.45       7.23    7.87     8.09    8.53
4292   7.28    0.45       7.23    7.87     8.09    8.53
4293   7.28    0.45       7.23    7.87     8.09    8.53
4294   7.28    0.45       7.23    7.87     8.09    8.53
4295   7.28    0.45       7.23    7.87     8.09    8.53
4296   7.28    0.45       7.23    7.87     8.09    8.53
4297   7.28    0.45       7.23    7.87     8.09    8.53
4298   7.28    0.45       7.23    7.87     8.09    8.53
4299   7.28    0.45       7.23    7.87     8.09    8.53
4300   7.28    0.45       7.23    7.87     8.09    8.53
4301   7.28    0.45       7.23    7.87     8.09    8.53
4302   7.28    0.45       7.23    7.87     8.09    8.53
4303   7.28    0.45       7.23    7.87     8.09    8.53
4304   7.28    0.45       7.23    7.87     8.09    8.53
4305   7.28    0.45       7.23    7.87     8.09    8.53
4306   7.28    0.45       7.23    7.88     8.09    8.53
4307   7.28    0.45       7.23    7.88     8.09    8.53
4308   7.28    0.45       7.23    7.88     8.09    8.53
4309   7.28    0.45       7.23    7.88     8.09    8.53
4310   7.28    0.45       7.24    7.88     8.09    8.53
4311   7.28    0.45       7.24    7.88     8.09    8.53
4312   7.28    0.45       7.24    7.88     8.09    8.53
4313   7.28    0.45       7.24    7.88     8.09    8.53
4314   7.28    0.45       7.24    7.88     8.09    8.53
4315   7.28    0.45       7.24    7.88     8.09    8.53
4316   7.28    0.45       7.24    7.88     8.09    8.53
4317   7.28    0.45       7.24    7.88     8.09    8.53
4318   7.28    0.45       7.24    7.88     8.09    8.53
4319   7.28    0.45       7.24    7.88     8.09    8.53
4320   7.28    0.45       7.24    7.88     8.09    8.53
4321   7.28    0.45       7.24    7.88     8.09    8.53
4322   7.28    0.45       7.24    7.88     8.09    8.53
4323   7.28    0.45       7.24    7.88     8.09    8.53
4324   7.28    0.45       7.24    7.88     8.09    8.53
4325   7.28    0.45       7.24    7.88     8.09    8.53
4326   7.28    0.45       7.24    7.88     8.09    8.53
4327   7.28    0.45       7.24    7.88     8.09    8.53
4328   7.28    0.45       7.24    7.88     8.09    8.53
4329   7.28    0.45       7.24    7.88     8.09    8.53
4330   7.28    0.45       7.24    7.88     8.09    8.53
4331   7.28    0.45       7.24    7.88     8.09    8.53
4332   7.28    0.45       7.24    7.88     8.09    8.53
4333   7.28    0.45       7.24    7.88     8.09    8.53
4334   7.28    0.45       7.24    7.88     8.09    8.53
4335   7.28    0.45       7.24    7.88     8.09    8.53
4336   7.28    0.45       7.24    7.88     8.09    8.53
4337   7.28    0.45       7.24    7.88     8.09    8.53
4338   7.28    0.45       7.24    7.88     8.09    8.53
4339   7.28    0.45       7.24    7.88     8.09    8.53
4340   7.28    0.45       7.24    7.88     8.09    8.53
4341   7.28    0.45       7.24    7.88     8.09    8.53
4342   7.28    0.45       7.24    7.88     8.09    8.53
4343   7.28    0.45       7.24    7.88     8.09    8.53
4344   7.28    0.45       7.24    7.88     8.09    8.53
4345   7.28    0.45       7.24    7.88     8.09    8.53
4346   7.28    0.45       7.24    7.88     8.09    8.53
4347   7.28    0.45       7.24    7.88     8.09    8.53
4348   7.28    0.45       7.24    7.88     8.09    8.53
4349   7.28    0.45       7.24    7.88     8.09    8.53
4350   7.28    0.45       7.24    7.88     8.09    8.53
4351   7.28    0.45       7.24    7.88     8.09    8.53
