  n  E[WN]   sigma_WN     W50     W90      W95     W99
302   5.76    0.55       5.71    6.48     6.73    7.24
303   5.76    0.55       5.72    6.48     6.73    7.24
304   5.76    0.55       5.72    6.48     6.73    7.24
305   5.77    0.54       5.72    6.49     6.74    7.24
306   5.77    0.54       5.72    6.49     6.74    7.25
307   5.77    0.54       5.72    6.49     6.74    7.25
308   5.77    0.54       5.73    6.49     6.74    7.25
309   5.77    0.54       5.73    6.49     6.74    7.25
310   5.78    0.54       5.73    6.49     6.74    7.25
311   5.78    0.54       5.73    6.50     6.75    7.26
312   5.78    0.54       5.73    6.50     6.75    7.26
313   5.78    0.54       5.74    6.50     6.75    7.26
314   5.78    0.54       5.74    6.50     6.75    7.26
315   5.79    0.54       5.74    6.50     6.75    7.26
316   5.79    0.54       5.74    6.51     6.76    7.26
317   5.79    0.54       5.74    6.51     6.76    7.27
318   5.79    0.54       5.75    6.51     6.76    7.27
319   5.79    0.54       5.75    6.51     6.76    7.27
320   5.80    0.54       5.75    6.51     6.76    7.27
321   5.80    0.54       5.75    6.52     6.76    7.27
322   5.80    0.54       5.75    6.52     6.77    7.27
323   5.80    0.54       5.76    6.52     6.77    7.28
324   5.80    0.54       5.76    6.52     6.77    7.28
325   5.81    0.54       5.76    6.52     6.77    7.28
326   5.81    0.54       5.76    6.52     6.77    7.28
327   5.81    0.54       5.76    6.53     6.77    7.28
328   5.81    0.54       5.77    6.53     6.78    7.28
329   5.81    0.54       5.77    6.53     6.78    7.28
330   5.82    0.54       5.77    6.53     6.78    7.29
331   5.82    0.54       5.77    6.53     6.78    7.29
332   5.82    0.54       5.77    6.53     6.78    7.29
333   5.82    0.54       5.78    6.54     6.78    7.29
334   5.82    0.54       5.78    6.54     6.79    7.29
335   5.83    0.54       5.78    6.54     6.79    7.29
336   5.83    0.54       5.78    6.54     6.79    7.30
337   5.83    0.54       5.78    6.54     6.79    7.30
338   5.83    0.54       5.78    6.54     6.79    7.30
339   5.83    0.54       5.79    6.55     6.79    7.30
340   5.83    0.54       5.79    6.55     6.80    7.30
341   5.84    0.54       5.79    6.55     6.80    7.30
342   5.84    0.54       5.79    6.55     6.80    7.30
343   5.84    0.54       5.79    6.55     6.80    7.31
344   5.84    0.54       5.80    6.55     6.80    7.31
345   5.84    0.54       5.80    6.56     6.80    7.31
346   5.85    0.54       5.80    6.56     6.81    7.31
347   5.85    0.54       5.80    6.56     6.81    7.31
348   5.85    0.54       5.80    6.56     6.81    7.31
349   5.85    0.54       5.80    6.56     6.81    7.32
350   5.85    0.54       5.81    6.56     6.81    7.32
351   5.85    0.54       5.81    6.57     6.81    7.32
352   5.86    0.54       5.81    6.57     6.82    7.32
353   5.86    0.54       5.81    6.57     6.82    7.32
354   5.86    0.54       5.81    6.57     6.82    7.32
355   5.86    0.54       5.82    6.57     6.82    7.32
356   5.86    0.54       5.82    6.57     6.82    7.33
357   5.87    0.54       5.82    6.58     6.82    7.33
358   5.87    0.54       5.82    6.58     6.82    7.33
359   5.87    0.54       5.82    6.58     6.83    7.33
360   5.87    0.54       5.82    6.58     6.83    7.33
361   5.87    0.54       5.83    6.58     6.83    7.33
362   5.87    0.54       5.83    6.58     6.83    7.33
363   5.88    0.54       5.83    6.59     6.83    7.34
364   5.88    0.54       5.83    6.59     6.83    7.34
365   5.88    0.54       5.83    6.59     6.84    7.34
366   5.88    0.54       5.83    6.59     6.84    7.34
367   5.88    0.54       5.84    6.59     6.84    7.34
368   5.88    0.54       5.84    6.59     6.84    7.34
369   5.89    0.54       5.84    6.59     6.84    7.34
370   5.89    0.54       5.84    6.60     6.84    7.35
371   5.89    0.54       5.84    6.60     6.84    7.35
372   5.89    0.54       5.84    6.60     6.85    7.35
373   5.89    0.54       5.85    6.60     6.85    7.35
374   5.89    0.54       5.85    6.60     6.85    7.35
375   5.90    0.54       5.85    6.60     6.85    7.35
376   5.90    0.54       5.85    6.60     6.85    7.35
377   5.90    0.54       5.85    6.61     6.85    7.36
378   5.90    0.54       5.85    6.61     6.85    7.36
379   5.90    0.53       5.86    6.61     6.86    7.36
380   5.90    0.53       5.86    6.61     6.86    7.36
381   5.91    0.53       5.86    6.61     6.86    7.36
382   5.91    0.53       5.86    6.61     6.86    7.36
383   5.91    0.53       5.86    6.62     6.86    7.36
384   5.91    0.53       5.86    6.62     6.86    7.37
385   5.91    0.53       5.87    6.62     6.86    7.37
386   5.91    0.53       5.87    6.62     6.87    7.37
387   5.92    0.53       5.87    6.62     6.87    7.37
388   5.92    0.53       5.87    6.62     6.87    7.37
389   5.92    0.53       5.87    6.62     6.87    7.37
390   5.92    0.53       5.87    6.63     6.87    7.37
391   5.92    0.53       5.88    6.63     6.87    7.37
392   5.92    0.53       5.88    6.63     6.87    7.38
393   5.93    0.53       5.88    6.63     6.88    7.38
394   5.93    0.53       5.88    6.63     6.88    7.38
395   5.93    0.53       5.88    6.63     6.88    7.38
396   5.93    0.53       5.88    6.63     6.88    7.38
